time,low,high,open,close,volume
2022-08-09,0.877,0.988,0.9,0.958,3730903.122
2022-08-10,0.885,0.99,0.955,0.976,1707141.207
2022-08-11,0.922,0.977,0.976,0.93,697234.782
2022-08-12,0.905,0.939,0.932,0.938,216445.042
2022-08-13,0.915,0.955,0.938,0.916,464314.118
2022-08-14,0.885,0.941,0.918,0.891,311339.872
2022-08-15,0.834,0.919,0.889,0.856,441368.997
2022-08-16,0.832,0.872,0.855,0.837,277911.583
2022-08-17,0.762,0.87,0.837,0.78,570925.965
2022-08-18,0.739,0.794,0.78,0.741,294032.282
2022-08-19,0.678,0.743,0.74,0.708,745183.172
2022-08-20,0.686,0.757,0.711,0.712,475887.05
2022-08-21,0.71,0.745,0.713,0.726,266673.423
2022-08-22,0.684,0.732,0.728,0.723,311363.155
2022-08-23,0.697,0.739,0.723,0.73,282920.61
2022-08-24,0.707,0.745,0.732,0.726,384478.837
2022-08-25,0.719,0.745,0.726,0.722,175298.567
2022-08-26,0.647,0.732,0.722,0.653,388101.927
2022-08-27,0.642,0.677,0.653,0.66,362621.339
2022-08-28,0.643,0.683,0.661,0.645,218506.415
2022-08-29,0.643,0.709,0.647,0.695,498003.938
2022-08-30,0.652,0.707,0.694,0.67,279853.175
2022-08-31,0.655,0.687,0.672,0.668,437356.797
2022-09-01,0.645,0.671,0.668,0.667,297518.086
2022-09-02,0.652,0.679,0.667,0.659,164949.71
2022-09-03,0.652,0.688,0.657,0.669,204631.285
2022-09-04,0.663,0.716,0.67,0.675,231021.06
2022-09-05,0.653,0.677,0.676,0.662,127931.179
2022-09-06,0.617,0.686,0.662,0.623,701656.031
2022-09-07,0.613,0.661,0.623,0.654,238461.466
2022-09-08,0.631,0.663,0.654,0.651,368338.937
2022-09-09,0.651,0.695,0.652,0.684,359732.321
2022-09-10,0.673,0.694,0.686,0.686,105729.466
2022-09-11,0.671,0.7,0.685,0.684,348619.146
2022-09-12,0.667,0.705,0.684,0.671,257055.473
2022-09-13,0.606,0.673,0.669,0.606,316617.578
2022-09-14,0.605,0.642,0.608,0.63,306217.662
2022-09-15,0.602,0.634,0.629,0.603,225475.39
2022-09-16,0.595,0.613,0.604,0.605,240834.354
2022-09-17,0.606,0.626,0.607,0.624,136041.786
2022-09-18,0.58,0.633,0.621,0.59,276331.177
2022-09-19,0.566,0.599,0.592,0.594,361167.148
2022-09-20,0.568,0.599,0.594,0.573,160930.276
2022-09-21,0.563,0.608,0.574,0.57,204363.453
2022-09-22,0.567,0.605,0.569,0.602,136062.968
2022-09-23,0.577,0.608,0.6,0.595,177433.125
2022-09-24,0.587,0.602,0.595,0.59,88774.339
2022-09-25,0.571,0.596,0.591,0.576,100723.73
2022-09-26,0.569,0.597,0.574,0.593,350611.095
2022-09-27,0.585,0.622,0.593,0.59,492577.52
2022-09-28,0.573,0.598,0.59,0.593,118363.783
2022-09-29,0.575,0.608,0.596,0.593,151032.19
2022-09-30,0.584,0.605,0.592,0.591,149389.878
2022-10-01,0.578,0.593,0.591,0.583,130405.824
2022-10-02,0.57,0.586,0.582,0.576,218851.877
2022-10-03,0.573,0.596,0.573,0.594,147773.95
2022-10-04,0.585,0.603,0.594,0.595,373610.156
2022-10-05,0.581,0.598,0.595,0.592,112176.633
2022-10-06,0.584,0.599,0.594,0.587,139156.218
2022-10-07,0.578,0.589,0.585,0.583,119120.549
2022-10-08,0.578,0.59,0.584,0.581,69649.395
2022-10-09,0.579,0.59,0.58,0.586,56697.479
2022-10-10,0.571,0.591,0.586,0.573,62794.657
2022-10-11,0.55,0.573,0.571,0.554,281444.833
2022-10-12,0.55,0.564,0.553,0.555,105831.823
2022-10-13,0.504,0.556,0.555,0.535,319994.062
2022-10-14,0.523,0.551,0.535,0.529,169570.797
2022-10-15,0.525,0.542,0.527,0.532,130971.694
2022-10-16,0.532,0.551,0.533,0.548,118033.172
2022-10-17,0.543,0.603,0.546,0.572,395937.198
2022-10-18,0.54,0.574,0.57,0.551,156344.566
2022-10-19,0.532,0.551,0.551,0.532,216019.147
2022-10-20,0.526,0.548,0.532,0.53,147624.439
2022-10-21,0.513,0.541,0.531,0.537,145547.242
2022-10-22,0.535,0.551,0.537,0.548,74447.726
2022-10-23,0.523,0.551,0.548,0.544,128131.27
2022-10-24,0.521,0.547,0.544,0.532,179292.218
2022-10-25,0.526,0.621,0.531,0.556,549252.304
2022-10-26,0.554,0.629,0.556,0.619,1045541.032
2022-10-27,0.596,0.669,0.619,0.604,807589.005
2022-10-28,0.589,0.659,0.602,0.633,588980.135
2022-10-29,0.63,0.802,0.632,0.715,5164612.227
2022-10-30,0.667,0.739,0.713,0.692,1328956.721
2022-10-31,0.662,0.727,0.69,0.684,831170.683
2022-11-01,0.668,0.728,0.686,0.67,846007.379
2022-11-02,0.663,0.752,0.671,0.698,1793708.358
2022-11-03,0.695,0.836,0.697,0.73,1905826.352
2022-11-04,0.711,0.798,0.727,0.775,1156104.228
2022-11-05,0.742,0.818,0.775,0.748,548059.5
2022-11-06,0.686,0.755,0.749,0.692,437901.529
2022-11-07,0.684,0.745,0.69,0.721,699296.261
2022-11-08,0.565,0.725,0.724,0.649,1264056.108
2022-11-09,0.522,0.661,0.65,0.548,2350969.11
2022-11-10,0.541,0.639,0.547,0.604,1154617.63
2022-11-11,0.543,0.606,0.602,0.568,350265.007
2022-11-12,0.534,0.594,0.568,0.55,410050.407
2022-11-13,0.528,0.579,0.547,0.531,325918.521
2022-11-14,0.505,0.552,0.534,0.53,485544.834
2022-11-15,0.529,0.619,0.531,0.562,375595.874
2022-11-16,0.543,0.577,0.562,0.571,179200.3
2022-11-17,0.55,0.576,0.572,0.557,161234.794
2022-11-18,0.548,0.57,0.558,0.556,130689.058
2022-11-19,0.544,0.606,0.559,0.575,351935.818
2022-11-20,0.527,0.591,0.572,0.53,288860.644
2022-11-21,0.507,0.539,0.529,0.517,285874.775
2022-11-22,0.493,0.556,0.519,0.534,325100.845
2022-11-23,0.533,0.564,0.534,0.552,165163.842
2022-11-24,0.541,0.556,0.555,0.548,129259.481
2022-11-25,0.527,0.549,0.549,0.537,97748.167
2022-11-26,0.534,0.551,0.537,0.543,97581.163
2022-11-27,0.542,0.601,0.543,0.575,502754.053
2022-11-28,0.536,0.594,0.574,0.551,401178.224
2022-11-29,0.548,0.576,0.552,0.564,149004.463
2022-11-30,0.552,0.584,0.566,0.582,256180.677
2022-12-01,0.561,0.583,0.581,0.565,125483.659
2022-12-02,0.559,0.578,0.565,0.578,100892.709
2022-12-03,0.557,0.577,0.577,0.557,78589.205
2022-12-04,0.557,0.593,0.558,0.58,166318.453
2022-12-05,0.559,0.588,0.58,0.564,120090.464
2022-12-06,0.555,0.587,0.565,0.565,308246.26
2022-12-07,0.541,0.569,0.565,0.548,88405.061
2022-12-08,0.537,0.56,0.547,0.558,68625.524
2022-12-09,0.543,0.567,0.557,0.545,105952.326
2022-12-10,0.543,0.58,0.545,0.562,158102.192
2022-12-11,0.552,0.571,0.561,0.552,141781.882
2022-12-12,0.539,0.555,0.552,0.553,199463.534
