,id,display_name,fx_stablecoin,max_slippage_percentage,status
508,ROSE-USDT,ROSE/USDT,False,0.03000000,online
509,XLM-USDT,XLM/USDT,False,0.03000000,online
510,TRU-USDT,TRU/USDT,False,0.03000000,online
511,BICO-USDT,BICO/USDT,False,0.03000000,online
512,DESO-USD,DESO/USD,False,0.03000000,online
513,LINK-ETH,LINK/ETH,False,0.03000000,online
514,ICP-USDT,ICP/USDT,False,0.03000000,online
515,KRL-USDT,KRL/USDT,False,0.05000000,online
516,RAD-EUR,RAD/EUR,False,0.03000000,online
517,CGLD-BTC,CGLD/BTC,False,0.03000000,online
518,NKN-BTC,NKN/BTC,False,0.03000000,online
519,LINK-USDT,LINK/USDT,False,0.03000000,online
520,PRQ-USDT,PRQ/USDT,False,0.03000000,online
521,RNDR-USDT,RNDR/USDT,False,0.03000000,online
522,ETH-USDT,ETH/USDT,False,0.03000000,online
523,POWR-USDT,POWR/USDT,False,0.03000000,online
524,RNDR-EUR,RNDR/EUR,False,0.03000000,online
525,AXL-USD,AXL/USD,False,0.03000000,online
526,KRL-USD,KRL/USD,False,0.05000000,online
527,LRC-BTC,LRC/BTC,False,0.03000000,online
528,VOXEL-USD,VOXEL/USD,False,0.03000000,online
529,MATH-USD,MATH/USD,False,0.03000000,online
530,KEEP-USD,KEEP/USD,False,0.03000000,delisted
531,REQ-BTC,REQ/BTC,False,0.03000000,online
532,ATA-USD,ATA/USD,False,0.03000000,online
533,AVAX-EUR,AVAX/EUR,False,0.03000000,online
534,COTI-USD,COTI/USD,False,0.03000000,online
535,T-USD,T/USD,False,0.03000000,online
536,AUDIO-USD,AUDIO/USD,False,0.03000000,online
537,LOOM-USDC,LOOM/USDC,False,0.03000000,delisted
538,TIME-USDT,TIME/USDT,False,0.05000000,online
539,GLM-USD,GLM/USD,False,0.03000000,online
540,LINK-GBP,LINK/GBP,False,0.03000000,online
541,ANKR-GBP,ANKR/GBP,False,0.03000000,online
542,LRC-USD,LRC/USD,False,0.03000000,online
543,RGT-USD,RGT/USD,False,0.03000000,delisted
544,KSM-USDT,KSM/USDT,False,0.03000000,online
545,ETH-EUR,ETH/EUR,False,0.03000000,online
546,ADA-BTC,ADA/BTC,False,0.03000000,online
547,DIMO-USD,DIMO/USD,False,0.03000000,online
548,LRC-USDT,LRC/USDT,False,0.03000000,online
549,BOND-USD,BOND/USD,False,0.03000000,online
550,CRPT-USD,CRPT/USD,False,0.03000000,online
551,SUKU-EUR,SUKU/EUR,False,0.03000000,online
552,LCX-USD,LCX/USD,False,0.03000000,online
553,BAND-USD,BAND/USD,False,0.03000000,online
554,TRU-BTC,TRU/BTC,False,0.03000000,online
555,FIDA-EUR,FIDA/EUR,False,0.03000000,online
556,RLY-GBP,RLY/GBP,False,0.05000000,delisted
557,PRQ-USD,PRQ/USD,False,0.03000000,online
558,DYP-USDT,DYP/USDT,False,0.03000000,online
559,FORTH-USD,FORTH/USD,False,0.03000000,online
560,CLV-USDT,CLV/USDT,False,0.03000000,online
561,UMA-BTC,UMA/BTC,False,0.03000000,online
562,1INCH-GBP,1INCH/GBP,False,0.03000000,online
563,CLV-GBP,CLV/GBP,False,0.03000000,delisted
564,BTC-GBP,BTC/GBP,False,0.03000000,online
565,ALCX-USD,ALCX/USD,False,0.03000000,online
566,MCO2-USDT,MCO2/USDT,False,0.05000000,delisted
567,XYO-BTC,XYO/BTC,False,0.03000000,delisted
568,ATOM-EUR,ATOM/EUR,False,0.03000000,online
569,PLA-USD,PLA/USD,False,0.03000000,online
570,REQ-USDT,REQ/USDT,False,0.03000000,online
571,POND-USD,POND/USD,False,0.03000000,online
572,BCH-BTC,BCH/BTC,False,0.03000000,online
573,UMA-GBP,UMA/GBP,False,0.03000000,online
574,DAI-USDC,DAI/USDC,True,0.01000000,delisted
575,RARI-USD,RARI/USD,False,0.03000000,online
576,ICP-BTC,ICP/BTC,False,0.03000000,online
577,REN-BTC,REN/BTC,False,0.03000000,online
578,ADA-USDC,ADA/USDC,False,0.03000000,delisted
